"file_name","output_text","status"
"2008年上海市中考英语试题及答案.doc","2008年上海市中考英语试题及答案.txt","success"
"2009年上海市中考英语试卷及答案.doc","2009年上海市中考英语试卷及答案.txt","success"
"2010年上海市中考英语试卷及答案.doc","2010年上海市中考英语试卷及答案.txt","success"
"2011年上海市中考英语试卷及答案.doc","2011年上海市中考英语试卷及答案.txt","success"
"2012年上海市中考英语试卷及答案.doc","2012年上海市中考英语试卷及答案.txt","success"
"2013年上海市中考英语试卷及答案.docx","2013年上海市中考英语试卷及答案.txt","success"
"2014年上海市中考英语试卷及答案.doc","2014年上海市中考英语试卷及答案.txt","success"
"2015年上海市中考英语试卷及答案.doc","2015年上海市中考英语试卷及答案.txt","success"
"2016年上海市中考英语试卷及答案.docx","2016年上海市中考英语试卷及答案.txt","success"
"2017年上海市中考英语试卷及答案.docx","2017年上海市中考英语试卷及答案.txt","success"
"2018年上海市中考英语试卷及答案.doc","2018年上海市中考英语试卷及答案.txt","success"
"2019年上海市中考英语试卷和答案.docx","2019年上海市中考英语试卷和答案.txt","success"
"2020年上海市中考英语试卷和答案.docx","2020年上海市中考英语试卷和答案.txt","success"
"2021年上海市中考英语试卷和答案.doc","2021年上海市中考英语试卷和答案.txt","success"
